序号,移动/PC端,使用端,所属模块,一级菜单,二级菜单,二级子功能菜单/Tab,原路径,功能说明,功能按钮/权限分类,数据权限描述,备注说明,创建时间,修定时间,,,,,,,,,,,,,,,
,PC,机构端,,,贷中风控管理,-,风险管理~风险公示,平台主动式安全防御中枢。多维侦测设备断线、押品跌价、违规作业等异动事件，并将风险分级推送到责任人进行排查。,查看（页面）、查看详情、执行风控模型、批量执行,订单数据权限,,2026年5月12日,,,,,,,,,,,,,,,,
,PC,机构端,,,巡检异常管理（新增）,-,-,平台主动式安全防御中枢。多维侦测设备断线、押品跌价、违规作业等异动事件，并将风险分级推送到责任人进行排查。,查看页面、处理、查看详情,"1.有菜单权限的人可见所有数据
2.操作：去处理；当前用户被配置到处理异常任务的权限决定",计划中,2026年3月10日,,,,,,,,,,,,,,,,
,PC,机构端,,巡检管理（新）,巡检计划,-,-,制定并分发线上或线下的周期性实地巡检计划（飞检）。对异常预警进行现场排查取证，生成合规的贷中巡检报告。,查看页面、新增、编辑、停/启用、删除、查看详情,有菜单权限的人可见所有数据,计划中,2026年3月10日,,,,,,,,,,,,,,,,
,PC,机构端,,,巡检任务,-,-,制定并分发线上或线下的周期性实地巡检计划（飞检）。对异常预警进行现场排查取证，生成合规的贷中巡检报告。,查看页面、详情,有菜单权限的人可见所有数据,计划中,2026年3月10日,,,,,,,,,,,,,,,,
,PC,机构端,,,巡检结果,-,-,制定并分发线上或线下的周期性实地巡检计划（飞检）。对异常预警进行现场排查取证，生成合规的贷中巡检报告。,查看页面、详情,有菜单权限的人可见所有数据,计划中,2026年3月10日,,,,,,,,,,,,,,,,
,PC,机构端,6.统计/看板,总机构报表看板,业务管理看板,-,总机构报表看板～业务管理看板,提供多维度、可视化的业务统计报表，穿透展现全盘监管资产价值、货位利用率及预警情况，辅助高层决策。,查看页面,所有机构权限，所有仓库权限,,2026年3月10日,,,,,,,,,,,,,,,,
,PC,机构端,,,资产管理看板,-,总机构报表看板～资产管理看板,提供多维度、可视化的业务统计报表，穿透展现全盘监管资产价值、货位利用率及预警情况，辅助高层决策。,查看页面,所有机构权限，所有仓库权限,,2026年3月10日,,,,,,,,,,,,,,,,
,PC,机构端,,,价格走势看板,,总机构报表看板～资产管理看板,提供多维度、可视化的业务统计报表，穿透展现全盘监管资产价值、货位利用率及预警情况，辅助高层决策。,查看页面,所有机构权限，所有仓库权限,,2026年3月10日,,,,,,,,,,,,,,,,
,PC,机构端,,机构报表看板,业务管理看板,-,机构报表看板～业务管理看板,提供多维度、可视化的业务统计报表，穿透展现全盘监管资产价值、货位利用率及预警情况，辅助高层决策。,查看页面,根据账号机构权限展示数据，根据仓库权限展示部分数据,,2026年3月10日,,,,,,,,,,,,,,,,
,PC,机构端,,,资产管理看板,-,机构报表看板～资产管理看板,提供多维度、可视化的业务统计报表，穿透展现全盘监管资产价值、货位利用率及预警情况，辅助高层决策。,查看页面,根据账号机构权限展示数据，根据仓库权限展示部分数据,,2026年3月10日,,,,,,,,,,,,,,,,
,PC,机构端,,,价格走势看板,,机构报表看板～资产管理看板,提供多维度、可视化的业务统计报表，穿透展现全盘监管资产价值、货位利用率及预警情况，辅助高层决策。,查看页面,根据账号机构权限展示数据，根据仓库权限展示部分数据,,2026年3月10日,,,,,,,,,,,,,,,,
,PC,机构端,7.结算,监管结算,项目结算管理,-,项目管理～项目结算管理,基于业务发生量（入出库数、存货天数、监管服务）自动计费，生成应收/应付账单，支持平台、资方及仓储方的线上财务对账。,查看页面、详情、新增收入结算单、新增支出结算单、结算单编辑、结算单结算、结算单结清、结算单作废、结算记录、结算单下载,功能权限,,2026年3月10日,,,,,,,,,,,,,,,,
,PC,机构端,,,结算汇总,-,项目管理～结算汇总,基于业务发生量（入出库数、存货天数、监管服务）自动计费，生成应收/应付账单，支持平台、资方及仓储方的线上财务对账。,查看页面、结算汇总明细、结算汇总导出、结算汇总导出记录,功能权限,,2026年3月10日,,,,,,,,,,,,,,,,
,PC,机构端,8.配置管理,门户管理,门户端配置,-,系统配置～门户端配置,提供支持供应链金融业务运转的基础配置或操作入口。,查看页面、编辑,"1.频道参数子页面 - 展示的可选项均为平台端赋予该机构的权限，不可展示非权限外的选项；
2.Banner配置子页面 - 展示的频道为平台端赋予该机构的权限内的频道，且展示的频道若在频道参数配置中已重命名此处名字将被同步修改；",,2026年3月10日,,,,,,,,,,,,,,,,
,PC,机构端,,,政策资讯,-,系统配置～政策资讯,提供支持供应链金融业务运转的基础配置或操作入口。,查看(页面)、查看详情、编辑、上/下架、删除,"1、数据创建成功后挂靠到创建人员账号所属机构；
2、可见数据根据登录账号角色的数据权限决定；",,2026年3月10日,,,,,,,,,,,,,,,,
,PC,机构端,,,融资产品配置,-,系统配置～产品配置,提供支持供应链金融业务运转的基础配置或操作入口。,查看(页面)、新增、查看详情、复制、编辑、上/下架、删除、设为推荐,"1、数据创建成功后挂靠到创建人员账号所属机构；
2、可见数据根据登录账号角色的数据权限决定；",,2026年3月10日,,,,,,,,,,,,,,,,
,PC,机构端,,平台管理,基础配置,-,系统配置～管理端配置,系统底层字典与规则中台。配置组织架构、员工账号角色、业务审批流模板及通知推送策略。,查看(页面)、编辑,"1.数据源参数子页面 - 展示给机构可配的数据源为平台端赋予该机构权限内的数据源；
2.硬件参数子页面 - 展示给机构可配的数据源为平台端赋予该机构权限内的硬件设备配置；",,2026年3月10日,,,,,,,,,,,,,,,,
,PC,机构端,,,机构类别,-,组织架构～机构类别,系统底层字典与规则中台。配置组织架构、员工账号角色、业务审批流模板及通知推送策略。,查看(页面)、编辑、停/启用、删除、添加机构类别,数据权限通用，所有有该菜单查看（页面）权限的账号可见,,2026年3月10日,,,,,,,,,,,,,,,,
,PC,机构端,,,机构管理,-,组织架构～机构管理,系统底层字典与规则中台。配置组织架构、员工账号角色、业务审批流模板及通知推送策略。,查看(页面)、新增机构、添加下级、编辑、停/启用、删除,"1、新增机构按钮弹窗 - 合作机构：非必填，可多选，选择范围为登录账号权限内可看到的机构；
2、新增数据自动挂靠到创建人员账号所属机构；
3、可见数据根据登录账号角色的数据权限决定；",,2026年3月10日,,,,,,,,,,,,,,,,
,PC,机构端,,,角色管理,-,组织架构～角色管理,系统底层字典与规则中台。配置组织架构、员工账号角色、业务审批流模板及通知推送策略。,查看(页面)、新增角色、查看详情、编辑、停/启用、删除,"1、可选管理端及移动端权限、仓库权限、数据权限 为登录账号权限内的数据；
2、新增角色归属机构为登录账号归属机构；
3、可见数据根据登录账号角色的数据权限决定；",,2026年3月10日,,,,,,,,,,,,,,,,
,PC,机构端,,,账号管理,-,组织架构～账号管理,系统底层字典与规则中台。配置组织架构、员工账号角色、业务审批流模板及通知推送策略。,查看(页面)、新增账号、编辑、停/启用、删除,"1、新增账号弹窗 - 所属机构：必填，单选，仅展示登录账号权限内的机构；
2、新增账号弹窗 - 角色：必填，多选，仅展示登录账号权限内的角色；
3、可见数据根据登录账号角色的数据权限决定；",,2026年3月10日,,,,,,,,,,,,,,,,
,PC,机构端,,,外链管理（新）,-,总机构报表看板-链接分享记录,系统底层字典与规则中台。配置组织架构、员工账号角色、业务审批流模板及通知推送策略。,页面展示,根据数据权限决定可见数据,,2026年3月10日,,,,,,,,,,,,,,,,
,PC,机构端,,仓库管理,仓库管理,-,仓库管理～仓库管理,建立并维护物理空间拓扑树（仓库-库区-库位），标记金融准入状态与安防评级，为空间建模与围栏设定提供基础锚点。,查看(页面)、新增仓库、编辑、停/启用、删除,"1、仓库管理列表 - 展示内容为登录账号权限内的所有数据（删除状态数据不展示）；
2、可见数据根据登录账号角色的数据权限决定；
3、库房新增存放区选择和标识",,2026年3月10日,,,,,,,,,,,,,,,,
,PC,机构端,,,产地区域管理,-,仓库管理～产地区域管理,建立并维护物理空间拓扑树（仓库-库区-库位），标记金融准入状态与安防评级，为空间建模与围栏设定提供基础锚点。,查看(页面)、新增信息、批量导出、批量导入、导入导出记录、查看、跟进、编辑、作废、删除,"1、可选仓库为登录账号上赋予的仓库权限；
2、新增数据自动挂靠到创建人员账号所属机构；
3、可见数据根据登录账号角色的数据权限决定；",,2026年3月10日,,,,,,,,,,,,,,,,
,PC,机构端,,货品规格管理,大类管理,-,货物管理～大类管理,维护标准化的存货金融资产目录（大类、品类、SKU）。界定哪些品种属于可质押白名单及对应的质押率上限。,查看页面、新增、编辑、启停用、列表,有菜单权限的人可见所有数据,,2026年3月10日,,,,,,,,,,,,,,,,
,PC,机构端,,,品类管理,-,货物管理～品类管理,维护标准化的存货金融资产目录（大类、品类、SKU）。界定哪些品种属于可质押白名单及对应的质押率上限。,查看页面、新增、编辑、启停用、删除,有菜单权限的人可见所有数据,,2026年3月10日,,,,,,,,,,,,,,,,
,PC,机构端,,,货品管理,-,货物管理～货品管理,维护标准化的存货金融资产目录（大类、品类、SKU）。界定哪些品种属于可质押白名单及对应的质押率上限。,查看页面、新增、编辑、启停用、价格设置,"1、有菜单权限的人可见所有数据；
2、货品单价为登录账号归属机构所设置的单价；
3、设置的货品价格为登录账号归属机构的单价，同一货品同一机构人员编辑直接更新；",优化展示价格曲线、货物入库收集信息配置,2026年3月10日,2026年4月14日,,,,,,,,,,,,,,,
,PC,机构端,,合同模板管理,-,-,合同管理～合同模板管理,集中管理仓储协议、融资合同、监管协议等法律文本，关联对应业务单据，夯实动产融资业务的法律合规底座。,查看页面、上传、编辑、预览、启停用、,"1、新增数据自动挂靠到登录人员账号归属机构；
2、可见数据根据当前登录账号角色的数据权限决定；",,2026年3月10日,,,,,,,,,,,,,,,,
,PC,机构端,,业务流程管理,作业环节（设置模板）,-,流程配置～子流程配置,提供支持供应链金融业务运转的基础配置或操作入口。,查看页面、新增、编辑、启停用、发布、配置任务（新增、编辑、配置、启停用、删除）,"1、有菜单权限人员可见所有流程；
2、流程内配置填写对象，可选角色和人员为账号数据权限内的数据；
3、签章组件配置时可选模板为系统内启用的所有合同模板，包括系统内置的 电子仓单 模板；",,2026年3月10日,,,,,,,,,,,,,,,,
,PC,机构端,,,作业流程（引用模板）,-,流程配置～总流程配置,提供支持供应链金融业务运转的基础配置或操作入口。,查看页面、新增、编辑、启停用、配置,有菜单权限人员可见所有流程,,2026年3月10日,,,,,,,,,,,,,,,,
,PC,机构端,,,质押流程发起审批,-,流程配置～节点配置,集中处理全系统各类业务单据（入库、出库、移库、盘点、质押）的在线审批流，支持多级会签、驳回与权限拦截。,查看页面、详情、新增、编辑、启停用、删除,"1、有菜单权限人员可见所有流程；
2、流程内配置填写对象，可选角色和人员为账号数据权限内的数据；
3、签章组件配置时可选模板为系统内启用的所有合同模板，包括系统内置的 电子仓单 模板；",,2026年3月10日,,,,,,,,,,,,,,,,
,PC,机构端,,,通知配置,-,流程配置～通知配置,提供支持供应链金融业务运转的基础配置或操作入口。,查看页面、详情、编辑、停用、删除,有仓单权限的人员可见所有数据，操作参照按钮权限,,2026年3月10日,,,,,,,,,,,,,,,,
,PC,机构端,,预警配置,订单预警配置,-,风险管理～订单预警配置,预警规则引擎配置及告警处理。针对价格跌穿警戒线、库存积压超期、非授权位移等异常行为，触发毫秒级系统告警与自动熔断。,查看页面、详情、新增、编辑、删除,"1、订单预警配置：可选和可看订单根据登录账号数据权限决定（可见订单则可见订单相关的预警配置和选项）；
2、设备预警配置：可选设备根据登录账号仓库权限决定，可看配置根据登录账号数据权限决定；",,2026年3月10日,,,,,,,,,,,,,,,,
,PC,机构端,,,设备预警配置,-,风险管理～设备预警配置,统一管理前端物联网硬件基建（AI摄像头、地磅、雷达、温湿度计），配置设备参数及电子围栏边界，保障底层数据采集通道顺畅。,查看页面、详情、新增、编辑、删除,"1、订单预警配置：可选和可看订单根据登录账号数据权限决定（可见订单则可见订单相关的预警配置和选项）；
2、设备预警配置：可选设备根据登录账号仓库权限决定，可看配置根据登录账号数据权限决定；",,2026年3月10日,,,,,,,,,,,,,,,,
,PC,机构端,,,设备事务通知配置,-,风险管理～设备事务通知配置,统一管理前端物联网硬件基建（AI摄像头、地磅、雷达、温湿度计），配置设备参数及电子围栏边界，保障底层数据采集通道顺畅。,查看页面、详情、新增、编辑、删除、启停用,设备类型分页：如果账号仓库权限和单条规则绑定设备的任意一个设备相同，则展示该条规则；如果单条规则的设备没有绑定任何仓库，则该规则展示给所有人,,2026年3月10日,,,,,,,,,,,,,,,,
,PC,机构端,,巡检配置（新),巡检清清单,-,-,制定并分发线上或线下的周期性实地巡检计划。对异常预警进行现场排查取证，生成合规的贷中巡检报告。,查看页面、详情、新增、编辑、删除、启停用,机构权限,计划中,2026年3月10日,,,,,,,,,,,,,,,,
,PC,机构端,,,巡检点配置,-,-,制定并分发线上或线下的周期性实地巡检计划。对异常预警进行现场排查取证，生成合规的贷中巡检报告。,查看页面、详情、编辑,仓库权限,计划中,2026年3月10日,,,,,,,,,,,,,,,,
,移动,机构端,1.首页,报表,-,-,无变化,提供支持供应链金融业务运转的基础配置或操作入口。,查看页面,,无变化,2026年3月10日,,,,,,,,,,,,,,,,
,移动,机构端,,待办事项,设置监管报告,-,无变化,提供支持供应链金融业务运转的基础配置或操作入口。,设置监管报告,,无变化,2026年3月10日,,,,,,,,,,,,,,,,
,移动,机构端,,数字仓库,温湿度设备,-,无变化,构建数字孪生底座，可视化呈现仓库平面图及实物分布，关联物联网设备状态，实现账实相符的底层物理监控。,查看页面,,无变化,2026年3月10日,,,,,,,,,,,,,,,,
,移动,机构端,,,监控设备,-,无变化,构建数字孪生底座，可视化呈现仓库平面图及实物分布，关联物联网设备状态，实现账实相符的底层物理监控。,查看页面,,无变化,2026年3月10日,,,,,,,,,,,,,,,,
,移动,机构端,2.工作台,仓储,存货管理,-,货物管理～存货管理,构建数字孪生底座，实物分布，实现账实相符的底层物理监控。,查看页面、详情,"1、可见数据为账号上赋予的仓库权限决定；
2、货品价格为登录账号归属机构设置的单价；",优化,2026年3月10日,,,,,,,,,,,,,,,,
,移动,机构端,,,仓单管理,-,货物管理～仓单管理,连接实物与金融的桥梁。将物理入库明细打包生成不可篡改的数字仓单，记录仓单质押、转让、注销的全生命周期与物权流转。,查看页面、详情,"1、开立申请可选仓库为账号权限内的仓库；
2、可见数据为账号上赋予的仓库权限决定；",,2026年3月10日,,,,,,,,,,,,,,,,
,移动,机构端,,,货权档案,-,货权管理～货权档案,建立每批货物的权属身份档案，归集采购合同、发票等确权凭证，确立货物初始所有权。,查看页面、详情、批量移交、移交档案、确认结束,"可见数据根据当前登录账号的角色的 仓库 权限决定；
档案移交人员的列表为当前子机构下的所有人员清单
(只展示同级机构，上一级机构和下一级机构都无法展示)",,2026年3月10日,,,,,,,,,,,,,,,,
,移动,机构端,,,证据管理,-,货权管理～证据管理,连接实物与金融的桥梁。将物理入库明细打包生成不可篡改的数字仓单，记录仓单质押、转让、注销的全生命周期与物权流转。,查看页面、存证报告、原文件、货物详情、导出,可见数据根据当前登录账号的角色的 仓库 权限决定；,,2026年3月10日,,,,,,,,,,,,,,,,
,移动,机构端,,,入库管理,-,货物管理～入库,管控资产入场全流程。结合物联网设备（地磅/摄像头）进行收货校验，确认货物落位后将其属性由“社会物流”转为“监管资产”。,查看页面、入库、入库记录（入库订单：查看详情、编辑、分配二维码、单据下载、下载记录；入库申请：查看详情、操作记录、入库撤销）,可见数据根据当前登录账号的角色的 仓库 权限决定；,,2026年3月10日,,,,,,,,,,,,,,,,
,移动,机构端,,,出库管理,-,货物管理～出库,执行“先解押、后发货”的硬控逻辑。联动AI防窜货监控，验证提货人身份，在装车出场后实时冲减数字仓单与底层账务。,查看页面、出库、出库记录（出库订单：查看详情、单据下载、下载记录；出库申请：查看详情、操作记录、出库撤销）,可见数据根据当前登录账号的角色的 仓库 权限决定；,,2026年3月10日,,,,,,,,,,,,,,,,
,移动,机构端,,,移库管理,-,货物管理～移库,管理库区内的货位变更作业。通过事前授权与轨迹监控防范“调包/偷换”风险，移位完成后实时更新货品的空间坐标及质押绑定状态。,查看页面、移库、移库记录（移库订单：查看详情、单据下载、下载记录；移库申请：查看详情、操作记录、移库撤销）,可见数据根据当前登录账号的角色的 仓库 权限决定；,,2026年3月10日,,,,,,,,,,,,,,,,
,移动,机构端,,,货物转让,-,货物管理～转让,提供支持业务运转的操作入口。,查看页面、转让、转让记录（转让申请：查看详情、撤销；转让记录：查看详情）,可见数据根据当前登录账号的角色的 仓库 权限决定；,,2026年3月10日,,,,,,,,,,,,,,,,
,移动,机构端,,,提货单,-,货物管理～提货单,执行“先解押、后发货”的硬控逻辑。联动AI防窜货监控，验证提货人身份。,查看页面、详情、取消提货、重置提货码、提货码核销、操作记录、确认提货,可见数据根据当前登录账号的角色的 仓库 权限决定；,,2026年3月10日,2026年5月7日,,,,,,,,,,,,,,,
,移动,机构端,,,货物盘点,-,货物管理～货物盘点,支持按总量概盘或按明细盲盘。联动现场进行实地查验，生成电子盘点报告。,查看页面、扫码盘点、盘点记录、解除异常,可见数据根据当前登录账号的角色的 仓库 权限决定；,优化页面,2026年3月10日,,,,,,,,,,,,,,,,
,移动,机构端,,,设备管理,监控设备,设备管理～监控设备,统一管理前端物联网硬件基建，配置设备参数及电子围栏边界，配置设备参数及电子围栏边界，保障底层数据采集通道顺畅。,查看页面、重命名、设备数据、仓库绑定、查看直播、查看回放、移除设备,可见数据根据当前登录账号的角色的 仓库 权限决定；未绑定位置的设备所有人可见,,2026年3月10日,,,,,,,,,,,,,,,,
,移动,机构端,,,,物联设备,设备管理～物联设备,统一管理前端物联网硬件基建，配置设备参数及电子围栏边界，配置设备参数及电子围栏边界，保障底层数据采集通道顺畅。,查看页面、重命名、仓库绑定、设备数据、移除设备,可见数据根据当前登录账号的角色的 仓库 权限决定；未绑定位置的设备所有人可见,,2026年3月10日,,,,,,,,,,,,,,,,
,移动,机构端,,,,门禁设备,设备管理～门禁设备,统一管理前端物联网硬件基建，配置设备参数及电子围栏边界，配置设备参数及电子围栏边界，保障底层数据采集通道顺畅。,查看页面、重命名、仓库绑定、设备数据、移除设备、获取密码,可见数据根据当前登录账号的角色的 仓库 权限决定；未绑定位置的设备所有人可见,,2026年3月10日,,,,,,,,,,,,,,,,
,移动,机构端,,,,GPS设备,设备管理～GPS设备,统一管理前端物联网硬件基建，配置设备参数及电子围栏边界，配置设备参数及电子围栏边界，保障底层数据采集通道顺畅。,查看页面、重命名、仓库绑定、实时定位、运动轨迹、移除设备,可见数据根据当前登录账号的角色的 仓库 权限决定；未绑定位置的设备所有人可见,,2026年3月10日,,,,,,,,,,,,,,,,
,移动,机构端,,,,门禁事务记录,设备管理～门禁事务记录,统一管理前端物联网硬件基建，配置设备参数及电子围栏边界，配置设备参数及电子围栏边界，保障底层数据采集通道顺畅。,查看页面,可见数据根据当前登录账号的角色的 仓库 权限决定；未绑定位置的设备所有人可见,,2026年3月10日,,,,,,,,,,,,,,,,
,移动,机构端,,,异动管理）,-,-,管理库区内的货物数量变更作业。,查看页面、异动记录（异动订单：查看详情；异动申请：查看详情、操作记录、移库撤销）,可见数据根据当前登录账号的角色的 仓库 权限决定；,,2026年3月10日,,,,,,,,,,,,,,,,
,移动,机构端,,,理货堆放,-,-,构建数字孪生底座，实物分布，实现账实相符的底层物理监控。,查看页面、详情、理货堆放、拆分,仓库权限,,2026年4月14日,2026年4月14日,,,,,,,,,,,,,,,
,移动,机构端,,,库存明细,-,-,提供精确到库区、库位及SKU级别的底层实物台账查询，实时比对账面数字与实物分布。,查看页面、详情,仓库权限,,2026年4月14日,2026年4月14日,,,,,,,,,,,,,,,
,移动,机构端,,融资/监管,抵质押业务管理,抵质押订单,项目监管～项目管理,承接金融端授信业务。建立线上质押合同台账，处理质押物的动态质押登记、最低价值核算及解押释放，形成完整的信贷闭环控制。,查看页面、结算管理、货物置换、货物补仓、货物出库、解抵质押、货物估值、货物盘点、盘点报告、货物移库、查看监控、平仓、查看风险、平仓、查看风险、设备管理、操作记录、货物详情、贷款结果录入、查看详情、监管报告（生成盘点监管报告、撤销申请、下载报告、查看详情、重新申请、查看报告）、部分结清、部分解抵质押,"数据权限：根据当前登录账号的角色的数据权限决定【任务发起人及任务处理人可看到相关信息，其他无关人员需要有对应数据所属机构的数据权限才能看到】；

盘点 - 盘点人只能盘点自己有仓库权限的货物
当针对没有仓库权限的货物点击扫码盘点

操作记录 - 能看到这笔抵/质押单，就能看到这笔抵/质押单的全部操作记录",,2026年3月10日,,,,,,,,,,,,,,,,
,移动,机构端,,,,监管订单,项目监管～项目管理,承接金融端授信业务。建立线上质押合同台账，处理质押物的动态质押登记、最低价值核算及解押释放，形成完整的信贷闭环控制。,查看页面、查看监控、查看风险、设备管理、货物估值、平仓、货物详情、查看详情、监管报告（生成盘点监管报告、撤销申请、下载报告、查看详情、重新申请、查看报告）,"数据权限：根据当前登录账号的角色的数据权限决定【任务发起人及任务处理人可看到相关信息，其他无关人员需要有对应数据所属机构的数据权限才能看到】；

盘点 - 盘点人只能盘点自己有仓库权限的货物
当针对没有仓库权限的货物点击扫码盘点

操作记录 - 能看到这笔抵/质押单，就能看到这笔抵/质押单的全部操作记录",,2026年3月10日,,,,,,,,,,,,,,,,
,移动,机构端,,,客户融资需求管理,-,其他～监管委托需求,承接金融端授信业务。建立线上质押合同台账，处理质押物的动态质押登记、最低价值核算及解押释放，形成完整的信贷闭环控制。,查看页面、融资详情、分配、状态管理、发起抵质押,"·有融资申请审核权限的账号可看到所有融资申请信息
·根据登录账号针对具体任务的操作权限决定；",,2026年3月10日,,,,,,,,,,,,,,,,
,移动,机构端,,,客户融资尽调办理,-,,承接金融端授信业务。建立线上质押合同台账，处理质押物的动态质押登记、最低价值核算及解押释放，形成完整的信贷闭环控制。,查看（页面）、查看详情、拒绝（待受理状态展示）、分配（待受理、受理通过状态展示）、发起尽调（待受理、受理中状态展示）、下载资料（受理通过、受理拒绝状态展示）,登录账号数据权限内的数据,,2026年5月12日,,,,,,,,,,,,,,,,
,移动,机构端,,,监管档案,-,项目监管～监管档案,承接金融端授信业务。建立线上质押合同台账，处理质押物的动态质押登记、最低价值核算及解押释放，形成完整的信贷闭环控制。,"查看页面、新增入库、新增出库、新增移库、货物转让、待提货单、仓单开立、抵押单开立、质押单开立、货物列表、仓单（查看页面、详情、仓单出库、仓单开立、变更记录、仓单补货、仓单移库、仓单移除、仓单注销）、抵押单（查看页面、详情、操作记录、货物出库、抵押单开立、部分解抵押、查看资料、查看风险、结算管理、置换抵押、加/补仓、解抵押、货物估值、货物盘点、盘点报告、移库、查看监控、平仓、查看风险、设备管理、贷款结果录入、监管报告、部分结清）、质押单（查看页面、详情、操作记录、货物出库、抵押单开立、部分解抵押、查看资料、查看风险、结算管理、置换抵押、加/补仓、解抵押、货物估值、货物盘点、盘点报告、移库、查看监控、平仓、查看风险、设备管理、贷款结果录入、监管报告、部分结清）、设备预警、订单预警、记录管理、资料管理、资料上传、查看风险--公示风险/批量公示风险（已处理数据下才展示）、风险公示
",,,2026年3月10日,,,,,,,,,,,,,,,,
,移动,机构端,,交易,采购需求管理,-,其他～采购需求管理,记录及审核产业链上下游的大宗现货买卖需求与合同流转，辅助风控中心核实验证交易背景的真实性。,查看页面、详情、下架,"1、所有数据挂靠顶级机构；
2、登录账号有对应机构的数据权限可看；",,2026年3月10日,,,,,,,,,,,,,,,,
,移动,机构端,,,销售需求管理,-,其他～销售需求管理,记录及审核产业链上下游的大宗现货买卖需求与合同流转，辅助风控中心核实验证交易背景的真实性。,查看(页面)、详情、下架、线索跟进,"1、所有数据挂靠顶级机构；
2、登录账号有对应机构的数据权限可看；",,2026年3月10日,,,,,,,,,,,,,,,,
,移动,机构端,,,政策资讯,-,其他-政策资讯,记录及审核产业链上下游的大宗现货买卖需求与合同流转，辅助风控中心核实验证交易背景的真实性。,查看(页面)、查看详情、编辑、上/下架、删除,"1、数据创建成功后挂靠到创建人员账号所属机构；
2、可见数据根据登录账号角色的数据权限决定；",,2026年3月10日,,,,,,,,,,,,,,,,
,移动,机构端,,风控,设备预警信息,-,项目监管-预警管理-设备预警,统一管理前端物联网硬件基建（AI摄像头、地磅、雷达、温湿度计），配置设备参数及电子围栏边界，保障底层数据采集通道顺畅。,查看（页面）、去处理（操作权限+预警状态为未处理）,登录账号仓库权限（未绑定具体位置的设备所有账号可见） 数据权限内的数据；,,2026年3月10日,,,,,,,,,,,,,,,,
,移动,机构端,,,押品预警信息,-,项目监管-预警管理-订单预警,预警规则引擎配置及告警处理。针对价格跌穿警戒线、库存积压超期、非授权位移等异常行为，触发毫秒级系统告警与自动熔断。,查看（页面）、去查看,登录账号数据权限内的数据（可见订单则可见订单相关的预警消息）；,,2026年3月10日,,,,,,,,,,,,,,,,
,移动,机构端,,,设备事务通知,-,项目监管-预警管理-设备事务通知,统一管理前端物联网硬件基建（AI摄像头、地磅、雷达、温湿度计），配置设备参数及电子围栏边界，保障底层数据采集通道顺畅。,查看(页面)、去处理,根据仓库权限决定可看数据，未绑定具体位置的设备事务记录所有登录账号可见,,2026年3月10日,,,,,,,,,,,,,,,,
,移动,机构端,,,贷中风控管理,-,,平台主动式安全防御中枢。多维侦测设备断线、押品跌价、违规作业等异动事件，并将风险分级推送到责任人进行排查。,查看（页面）、查看详情、执行风控模型、批量执行,订单数据权限,,2026年5月12日,,,,,,,,,,,,,,,,
,移动,机构端,,,巡检异常管理,-,,平台主动式安全防御中枢。多维侦测设备断线、押品跌价、违规作业等异动事件，并将风险分级推送到责任人进行排查。,,,,2026年3月10日,,,,,,,,,,,,,,,,
,移动,机构端,,,巡检任务,-,,平台主动式安全防御中枢。多维侦测设备断线、押品跌价、违规作业等异动事件，并将风险分级推送到责任人进行排查。,,,,2026年3月10日,,,,,,,,,,,,,,,,
,移动,机构端,,,日常巡检,-,,平台主动式安全防御中枢。多维侦测设备断线、押品跌价、违规作业等异动事件，并将风险分级推送到责任人进行排查。,,,,2026年3月10日,,,,,,,,,,,,,,,,
,移动,机构端,,结算,结算管理,-,结算管理-结算管理,基于业务发生量（入出库吨数、存货天数、监管服务）自动计费，生成应收/应付账单，支持平台、资方及仓储方的线上财务对账。,查看（页面）、详情、编辑、结算、结算记录、下载结算单、结清、作废,功能权限,,2026年3月10日,,,,,,,,,,,,,,,,
,移动,机构端,,,新增收入结算单,-,结算管理-新增收入结算单,基于业务发生量（入出库吨数、存货天数、监管服务）自动计费，生成应收/应付账单，支持平台、资方及仓储方的线上财务对账。,查看（页面）,功能权限,,2026年3月10日,,,,,,,,,,,,,,,,
,移动,机构端,,,新增支出结算单,-,结算管理-新增支出结算单,基于业务发生量（入出库吨数、存货天数、监管服务）自动计费，生成应收/应付账单，支持平台、资方及仓储方的线上财务对账。,查看（页面）,功能权限,,2026年3月10日,,,,,,,,,,,,,,,,
,移动,机构端,,配置管理,仓库管理,-,仓库管理-仓库管理,建立并维护物理空间拓扑树（仓库-库区-库位），标记金融准入状态与安防评级，为空间建模与围栏设定提供基础锚点。,查看(页面)、编辑、停/启用,"1、仓库管理列表 - 展示内容为登录账号权限内的所有数据（删除状态数据不展示）；
2、可见数据根据登录账号角色的数据权限决定；
3、库房新增存放区选择和标识",,2026年3月10日,,,,,,,,,,,,,,,,
,移动,机构端,,,新增仓库,-,仓库管理-新增仓库,建立并维护物理空间拓扑树（仓库-库区-库位），标记金融准入状态与安防评级，为空间建模与围栏设定提供基础锚点。,查看(页面)、编辑、停/启用,,,2026年3月10日,,,,,,,,,,,,,,,,
,移动,机构端,,,新增产业地,-,仓库管理-新增产业地,系统底层字典与规则中台。配置组织架构、员工账号角色、业务审批流模板及通知推送策略。,查看(页面)、编辑、停/启用,,,2026年3月10日,,,,,,,,,,,,,,,,
